N,bio1,bio12,Elevation,SM,ST,RR,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio13,bio14,bio15,bio16,bio17,bio18,bio19
40,12.6,548,47,15.77523204,286.2374776,0.0575,121,28,1104.1,32.4,-9.7,42.1,26,-2.5,26,-2.5,201,3,138,431,12,431,12
80,12.6,548,47,15.77523204,286.2374776,0.09,121,28,1104.1,32.4,-9.7,42.1,26,-2.5,26,-2.5,201,3,138,431,12,431,12
57,6.9,903,302,26.20316969,280.9097784,-0.0279,99,27,945.8,26.1,-10.5,36.6,17.9,-4.8,18.7,-5.5,91,56,13,259,189,250,196
60,9.1,704,163,28.82355,281.9669756,-0.2531,81,31,638.5,23.3,-2.2,25.5,15.7,4.9,17.3,0.9,70,43,12,201,152,190,163
60,9.1,704,163,28.82355,281.9669756,0.0006,81,31,638.5,23.3,-2.2,25.5,15.7,4.9,17.3,0.9,70,43,12,201,152,190,163
60,15,1388,170,24.2621935,288.5725214,-0.1904,133,37,798.8,32.4,-3,35.4,15,20.8,25,4.3,144,81,18,413,259,295,372
60,15,1388,170,24.2621935,288.5725214,0.0045,133,37,798.8,32.4,-3,35.4,15,20.8,25,4.3,144,81,18,413,259,295,372
60,15,1388,170,24.2621935,288.5725214,-0.1413,133,37,798.8,32.4,-3,35.4,15,20.8,25,4.3,144,81,18,413,259,295,372
60,15,1388,170,24.2621935,288.5725214,-0.038,133,37,798.8,32.4,-3,35.4,15,20.8,25,4.3,144,81,18,413,259,295,372
100,22.5,1588,214,26.22167197,295.386803,0.131,79,35,528.2,32.5,10.4,22.1,28.3,16.7,28.3,15.1,282,32,73,838,109,838,118
100,12.4,549,254,18.22474307,286.9505048,-0.3005,118,29,1027.4,31.1,-8.9,40,25,-1.5,25,-1.5,154,4,109,362,15,362,15
100,12.4,549,254,18.22474307,286.9505048,-0.0734,118,29,1027.4,31.1,-8.9,40,25,-1.5,25,-1.5,154,4,109,362,15,362,15
100,12.4,549,254,18.22474307,286.9505048,0.2018,118,29,1027.4,31.1,-8.9,40,25,-1.5,25,-1.5,154,4,109,362,15,362,15
50,2.7,814,1110,26.64049448,276.181876,0.0568,126,25,1282.1,24.8,-24.2,49,18.1,-15.2,18.1,-15.2,199,10,93,500,35,500,35
50,2.7,814,1110,26.64049448,276.181876,0.296,126,25,1282.1,24.8,-24.2,49,18.1,-15.2,18.1,-15.2,199,10,93,500,35,500,35
60,-4.6,461,479,25.15039971,271.2969506,0.1762,153,25,1672.1,24.3,-36.5,60.8,15.6,-27.1,15.6,-27.1,116,3,99,295,14,295,14
50,10.9,532,587,25.27433305,286.8107532,0.0859,118,29,980.2,29.4,-10,39.4,21.4,-2.6,23,-2.6,129,4,88,313,15,295,15
50,10.9,532,587,25.27433305,286.8107532,-0.0405,118,29,980.2,29.4,-10,39.4,21.4,-2.6,23,-2.6,129,4,88,313,15,295,15
100,10.9,532,587,25.27433305,286.8107532,0.0222,118,29,980.2,29.4,-10,39.4,21.4,-2.6,23,-2.6,129,4,88,313,15,295,15
100,10.9,532,587,25.27433305,286.8107532,-0.1866,118,29,980.2,29.4,-10,39.4,21.4,-2.6,23,-2.6,129,4,88,313,15,295,15
50,10.9,532,587,25.27433305,286.8107532,-0.1222,118,29,980.2,29.4,-10,39.4,21.4,-2.6,23,-2.6,129,4,88,313,15,295,15
100,-10.6,264,439,24.31085786,267.7552098,-0.1622,88,17,1514.4,15.8,-35.4,51.2,7.5,-28.8,8.7,-29.3,43,10,47,112,34,107,38
100,-10.6,264,439,24.31085786,267.7552098,0.2398,88,17,1514.4,15.8,-35.4,51.2,7.5,-28.8,8.7,-29.3,43,10,47,112,34,107,38
50,16.9,1608,564,34.43751698,291.1543158,-0.0659,81,27,749.9,31.5,1.8,29.7,20.9,8.7,26,6.8,257,45,53,725,161,524,205
50,16.9,1608,564,34.43751698,291.1543158,-0.0734,81,27,749.9,31.5,1.8,29.7,20.9,8.7,26,6.8,257,45,53,725,161,524,205
100,16.9,1608,564,34.43751698,291.1543158,-0.2214,81,27,749.9,31.5,1.8,29.7,20.9,8.7,26,6.8,257,45,53,725,161,524,205
100,16.9,1608,564,34.43751698,291.1543158,-0.1911,81,27,749.9,31.5,1.8,29.7,20.9,8.7,26,6.8,257,45,53,725,161,524,205
100,16.9,1608,564,34.43751698,291.1543158,0.0146,81,27,749.9,31.5,1.8,29.7,20.9,8.7,26,6.8,257,45,53,725,161,524,205
100,16.9,1608,564,34.43751698,291.1543158,-0.1766,81,27,749.9,31.5,1.8,29.7,20.9,8.7,26,6.8,257,45,53,725,161,524,205
35,22.3,1575,79,27.13459351,294.6799011,0.0185,79,33,556.1,33.1,9.5,23.6,27.7,16.3,28.6,14.6,260,30,65,712,108,692,129
35,22.3,1575,79,27.13459351,294.6799011,-0.04,79,33,556.1,33.1,9.5,23.6,27.7,16.3,28.6,14.6,260,30,65,712,108,692,129
70,22.3,1575,79,27.13459351,294.6799011,0.0464,79,33,556.1,33.1,9.5,23.6,27.7,16.3,28.6,14.6,260,30,65,712,108,692,129
70,22.3,1575,79,27.13459351,294.6799011,-0.0059,79,33,556.1,33.1,9.5,23.6,27.7,16.3,28.6,14.6,260,30,65,712,108,692,129
35,22.3,1575,79,27.13459351,294.6799011,-0.1771,79,33,556.1,33.1,9.5,23.6,27.7,16.3,28.6,14.6,260,30,65,712,108,692,129
70,22.3,1575,79,27.13459351,294.6799011,-0.0064,79,33,556.1,33.1,9.5,23.6,27.7,16.3,28.6,14.6,260,30,65,712,108,692,129
35,22.3,1575,79,27.13459351,294.6799011,-0.0173,79,33,556.1,33.1,9.5,23.6,27.7,16.3,28.6,14.6,260,30,65,712,108,692,129
70,22.3,1575,79,27.13459351,294.6799011,0.0276,79,33,556.1,33.1,9.5,23.6,27.7,16.3,28.6,14.6,260,30,65,712,108,692,129
35,22.3,1575,79,27.13459351,294.6799011,-0.0147,79,33,556.1,33.1,9.5,23.6,27.7,16.3,28.6,14.6,260,30,65,712,108,692,129
70,22.3,1575,79,27.13459351,294.6799011,0.0488,79,33,556.1,33.1,9.5,23.6,27.7,16.3,28.6,14.6,260,30,65,712,108,692,129
35,22.3,1575,79,27.13459351,294.6799011,-0.0216,79,33,556.1,33.1,9.5,23.6,27.7,16.3,28.6,14.6,260,30,65,712,108,692,129
70,22.3,1575,79,27.13459351,294.6799011,0.0496,79,33,556.1,33.1,9.5,23.6,27.7,16.3,28.6,14.6,260,30,65,712,108,692,129
35,22.3,1575,79,27.13459351,294.6799011,0.0731,79,33,556.1,33.1,9.5,23.6,27.7,16.3,28.6,14.6,260,30,65,712,108,692,129
70,22.3,1575,79,27.13459351,294.6799011,0.0235,79,33,556.1,33.1,9.5,23.6,27.7,16.3,28.6,14.6,260,30,65,712,108,692,129
16,-6.5,316,3594,17.11592697,269.7774193,0.294,95,23,1149.6,12.9,-28,40.9,6.5,-22.9,6.5,-22.9,73,2,98,202,9,202,9
8,-6.5,316,3594,17.11592697,269.7774193,0.0492,95,23,1149.6,12.9,-28,40.9,6.5,-22.9,6.5,-22.9,73,2,98,202,9,202,9
100,3.4,254,1484,15.60102127,277.6919585,0.0842,129,26,1282.6,26.6,-22.3,48.9,19.1,-14.1,19.1,-14.1,80,2,109,168,7,168,7
100,3.4,254,1484,15.60102127,277.6919585,0.3053,129,26,1282.6,26.6,-22.3,48.9,19.1,-14.1,19.1,-14.1,80,2,109,168,7,168,7
60,7.4,322,1597,17.1114511,282.4588463,-0.1274,128,30,1008,27.3,-14.5,41.8,18.3,-6.4,19.8,-6.4,83,2,92,191,7,179,7
100,6.7,405,432,15.81152244,281.9530407,0.0881,129,28,1220.8,28.5,-17.4,45.9,21.6,-9.7,21.6,-9.7,124,1,114,286,6,286,6
50,6.7,405,432,15.81152244,281.9530407,-0.0032,129,28,1220.8,28.5,-17.4,45.9,21.6,-9.7,21.6,-9.7,124,1,114,286,6,286,6
100,6.7,405,432,15.81152244,281.9530407,-0.1924,129,28,1220.8,28.5,-17.4,45.9,21.6,-9.7,21.6,-9.7,124,1,114,286,6,286,6
50,6.7,405,432,15.81152244,281.9530407,-0.155,129,28,1220.8,28.5,-17.4,45.9,21.6,-9.7,21.6,-9.7,124,1,114,286,6,286,6
80,6.8,222,825,14.37295487,280.8572562,-0.0286,111,22,1334.9,30.3,-18.1,48.4,16,-11.5,22.7,-11.5,31,7,41,85,24,76,24
20,6.8,222,825,14.37295487,280.8572562,-0.0405,111,22,1334.9,30.3,-18.1,48.4,16,-11.5,22.7,-11.5,31,7,41,85,24,76,24
5,6.8,222,825,14.37295487,280.8572562,0.0272,111,22,1334.9,30.3,-18.1,48.4,16,-11.5,22.7,-11.5,31,7,41,85,24,76,24
100,12.7,588,4,28.06153524,287.9540667,0.1593,116,29,1034,31.3,-8.3,39.6,25.4,-1.4,25.4,-1.4,189,6,108,388,22,388,22
100,12.7,588,4,28.06153524,287.9540667,0.0962,116,29,1034,31.3,-8.3,39.6,25.4,-1.4,25.4,-1.4,189,6,108,388,22,388,22
100,12.7,588,4,28.06153524,287.9540667,0.1151,116,29,1034,31.3,-8.3,39.6,25.4,-1.4,25.4,-1.4,189,6,108,388,22,388,22
50,12.7,588,4,28.06153524,287.9540667,0.0852,116,29,1034,31.3,-8.3,39.6,25.4,-1.4,25.4,-1.4,189,6,108,388,22,388,22
50,12.7,588,4,28.06153524,287.9540667,0.1402,116,29,1034,31.3,-8.3,39.6,25.4,-1.4,25.4,-1.4,189,6,108,388,22,388,22
50,12.7,588,4,28.06153524,287.9540667,0.1022,116,29,1034,31.3,-8.3,39.6,25.4,-1.4,25.4,-1.4,189,6,108,388,22,388,22
36,7.1,169,584,10.83718264,283.3580511,-0.011,121,23,1387.6,31.5,-19.1,50.6,21.6,-12.1,23.5,-12.1,22,6,34,62,21,59,21
36,7.1,169,584,10.83718264,283.3580511,-0.0424,121,23,1387.6,31.5,-19.1,50.6,21.6,-12.1,23.5,-12.1,22,6,34,62,21,59,21
36,7.1,169,584,10.83718264,283.3580511,-0.0664,121,23,1387.6,31.5,-19.1,50.6,21.6,-12.1,23.5,-12.1,22,6,34,62,21,59,21
18,7.1,169,584,10.83718264,283.3580511,0.0285,121,23,1387.6,31.5,-19.1,50.6,21.6,-12.1,23.5,-12.1,22,6,34,62,21,59,21
18,7.1,169,584,10.83718264,283.3580511,0.1423,121,23,1387.6,31.5,-19.1,50.6,21.6,-12.1,23.5,-12.1,22,6,34,62,21,59,21
18,7.1,169,584,10.83718264,283.3580511,-0.0772,121,23,1387.6,31.5,-19.1,50.6,21.6,-12.1,23.5,-12.1,22,6,34,62,21,59,21
72,7.1,169,584,10.83718264,283.3580511,0.045,121,23,1387.6,31.5,-19.1,50.6,21.6,-12.1,23.5,-12.1,22,6,34,62,21,59,21
72,7.1,169,584,10.83718264,283.3580511,-0.0102,121,23,1387.6,31.5,-19.1,50.6,21.6,-12.1,23.5,-12.1,22,6,34,62,21,59,21
72,7.1,169,584,10.83718264,283.3580511,0.0173,121,23,1387.6,31.5,-19.1,50.6,21.6,-12.1,23.5,-12.1,22,6,34,62,21,59,21
60,7.9,291,1450,17.032098,283.8850374,-0.0687,130,30,1021.7,28.1,-14.4,42.5,18.9,-6.1,20.5,-6.1,76,2,90,173,7,163,7
80,1.6,387,1361,15.47181561,277.0180635,0.3157,125,26,1283.1,23.9,-23.7,47.6,17,-16.1,17,-16.1,114,2,106,258,9,258,9
10,1.6,387,1361,15.47181561,277.0180635,0.1781,125,26,1283.1,23.9,-23.7,47.6,17,-16.1,17,-16.1,114,2,106,258,9,258,9
20,1.6,387,1361,15.47181561,277.0180635,0.1326,125,26,1283.1,23.9,-23.7,47.6,17,-16.1,17,-16.1,114,2,106,258,9,258,9
40,1.6,387,1361,15.47181561,277.0180635,0.0749,125,26,1283.1,23.9,-23.7,47.6,17,-16.1,17,-16.1,114,2,106,258,9,258,9
100,1.4,405,1383,15.48536423,276.3181167,0.0373,127,26,1252,23.6,-23.6,47.2,16.5,-15.8,16.5,-15.8,116,2,108,273,9,273,9
100,1.6,395,1323,15.55830079,276.849637,-0.0274,127,26,1259.4,23.9,-23.6,47.5,16.8,-15.8,16.8,-15.8,113,2,109,267,9,267,9
100,0.8,444,1506,16.5673488,274.6949187,0.1192,125,26,1225.2,22.7,-23.6,46.3,15.7,-16,15.7,-16,127,2,105,298,9,298,9
100,0.8,444,1514,16.5673488,274.6949187,0.0654,125,26,1225.2,22.7,-23.6,46.3,15.7,-16,15.7,-16,127,2,105,298,9,298,9
100,12.1,880,387,27.58397538,285.9647362,0.0645,127,30,987.8,32.2,-8.8,41,22.1,-1.2,24.4,-1.2,135,21,49,350,74,323,74
100,12.1,880,387,27.58397538,285.9647362,0.1001,127,30,987.8,32.2,-8.8,41,22.1,-1.2,24.4,-1.2,135,21,49,350,74,323,74
100,12.1,880,387,27.58397538,285.9647362,0.0487,127,30,987.8,32.2,-8.8,41,22.1,-1.2,24.4,-1.2,135,21,49,350,74,323,74
100,12.1,880,387,27.58397538,285.9647362,0.1598,127,30,987.8,32.2,-8.8,41,22.1,-1.2,24.4,-1.2,135,21,49,350,74,323,74
100,12.1,880,387,27.58397538,285.9647362,-0.0412,127,30,987.8,32.2,-8.8,41,22.1,-1.2,24.4,-1.2,135,21,49,350,74,323,74
100,12.1,880,387,27.58397538,285.9647362,-0.0973,127,30,987.8,32.2,-8.8,41,22.1,-1.2,24.4,-1.2,135,21,49,350,74,323,74
100,12.1,880,387,27.58397538,285.9647362,0.0559,127,30,987.8,32.2,-8.8,41,22.1,-1.2,24.4,-1.2,135,21,49,350,74,323,74
100,12.1,880,387,27.58397538,285.9647362,0.1328,127,30,987.8,32.2,-8.8,41,22.1,-1.2,24.4,-1.2,135,21,49,350,74,323,74
100,12.1,880,387,27.58397538,285.9647362,0.0062,127,30,987.8,32.2,-8.8,41,22.1,-1.2,24.4,-1.2,135,21,49,350,74,323,74
100,12.1,880,387,27.58397538,285.9647362,0.0779,127,30,987.8,32.2,-8.8,41,22.1,-1.2,24.4,-1.2,135,21,49,350,74,323,74
100,12.1,880,387,27.58397538,285.9647362,-0.1729,127,30,987.8,32.2,-8.8,41,22.1,-1.2,24.4,-1.2,135,21,49,350,74,323,74
100,12.1,880,387,27.58397538,285.9647362,0.0314,127,30,987.8,32.2,-8.8,41,22.1,-1.2,24.4,-1.2,135,21,49,350,74,323,74
100,12.1,880,387,27.58397538,285.9647362,-0.0403,127,30,987.8,32.2,-8.8,41,22.1,-1.2,24.4,-1.2,135,21,49,350,74,323,74
100,12.1,880,387,27.58397538,285.9647362,0.0473,127,30,987.8,32.2,-8.8,41,22.1,-1.2,24.4,-1.2,135,21,49,350,74,323,74
100,12.1,880,387,27.58397538,285.9647362,-0.2084,127,30,987.8,32.2,-8.8,41,22.1,-1.2,24.4,-1.2,135,21,49,350,74,323,74
100,12.1,880,387,27.58397538,285.9647362,-0.2086,127,30,987.8,32.2,-8.8,41,22.1,-1.2,24.4,-1.2,135,21,49,350,74,323,74
100,12.1,880,387,27.58397538,285.9647362,0.1413,127,30,987.8,32.2,-8.8,41,22.1,-1.2,24.4,-1.2,135,21,49,350,74,323,74
100,12.1,880,387,27.58397538,285.9647362,0.0687,127,30,987.8,32.2,-8.8,41,22.1,-1.2,24.4,-1.2,135,21,49,350,74,323,74
100,12.1,880,387,27.58397538,285.9647362,0.0223,127,30,987.8,32.2,-8.8,41,22.1,-1.2,24.4,-1.2,135,21,49,350,74,323,74
100,12.1,880,387,27.58397538,285.9647362,0.2024,127,30,987.8,32.2,-8.8,41,22.1,-1.2,24.4,-1.2,135,21,49,350,74,323,74
100,12.1,880,387,27.58397538,285.9647362,0.0161,127,30,987.8,32.2,-8.8,41,22.1,-1.2,24.4,-1.2,135,21,49,350,74,323,74
50,12,964,3456,24.33339827,283.4216134,0.0226,116,48,454.5,21.9,-2,23.9,17.3,5.8,17.3,5.8,231,4,99,603,20,603,20
50,12,964,3456,24.33339827,283.4216134,-0.0725,116,48,454.5,21.9,-2,23.9,17.3,5.8,17.3,5.8,231,4,99,603,20,603,20
50,12,964,3456,24.33339827,283.4216134,-0.0803,116,48,454.5,21.9,-2,23.9,17.3,5.8,17.3,5.8,231,4,99,603,20,603,20
100,18.4,682,411,20.81436988,293.4373401,-0.0952,143,51,505.4,31.5,3.6,27.9,24.4,12.7,24.4,11.5,91,30,36,257,106,257,109
100,8.2,1226,972,32.42340451,279.6155468,-0.0821,75,30,619.1,21.8,-3.2,25,16,1.2,16,0.2,150,74,27,434,223,434,226
100,17.4,331,297,15.71842684,291.6675822,0.1873,139,48,523,33.4,5,28.4,12,22.5,24.1,10.9,59,11,55,153,37,44,148
100,17.9,882,810,24.1156103,290.9570807,-0.1261,127,58,295.1,26.7,5,21.7,21.2,13.9,21.2,13.7,141,14,63,387,54,381,56
100,13.2,921,1666,22.96281079,290.0016712,0.003,124,55,342.8,22.4,0.2,22.2,16.9,8.4,16.9,8.3,146,13,67,430,52,430,52
100,18.4,934,636,28.30515743,290.9416562,0.18,107,58,252.7,26.2,7.8,18.4,20.6,15.2,21.5,14.9,150,19,55,388,72,372,74
40,1.7,387,1354,15.47181561,277.0180635,-0.1846,125,26,1280.5,23.9,-23.6,47.5,17,-16,17,-16,114,2,106,259,9,259,9
50,1.7,387,1354,15.47181561,277.0180635,-0.0792,125,26,1280.5,23.9,-23.6,47.5,17,-16,17,-16,114,2,106,259,9,259,9
80,1.7,387,1354,15.47181561,277.0180635,-0.3351,125,26,1280.5,23.9,-23.6,47.5,17,-16,17,-16,114,2,106,259,9,259,9
12.5,8,290,1384,16.50700024,283.8891006,0.0357,134,30,1048.5,28.7,-14.7,43.4,19.3,-6.3,21,-6.3,79,1,92,174,6,164,6
100,8,290,1384,16.50700024,283.8891006,0.0222,134,30,1048.5,28.7,-14.7,43.4,19.3,-6.3,21,-6.3,79,1,92,174,6,164,6
50,8,290,1384,16.50700024,283.8891006,-0.002,134,30,1048.5,28.7,-14.7,43.4,19.3,-6.3,21,-6.3,79,1,92,174,6,164,6
25,8,290,1384,16.50700024,283.8891006,0.0218,134,30,1048.5,28.7,-14.7,43.4,19.3,-6.3,21,-6.3,79,1,92,174,6,164,6
8,-0.8,265,3482,13.50698421,275.3644017,0.1352,139,35,877.4,17.1,-22,39.1,9.8,-11.6,9.8,-12.6,61,1,98,169,4,169,4
50,10.1,617,1300,21.54056622,283.8064604,0.1453,98,27,887.1,27.6,-7.8,35.4,19.8,-1.8,21.3,-1.8,121,4,80,342,15,299,15
120,10.1,617,1300,21.54056622,283.8064604,-0.1124,98,27,887.1,27.6,-7.8,35.4,19.8,-1.8,21.3,-1.8,121,4,80,342,15,299,15
120,14.5,636,481,21.90755771,285.8240371,-0.024,99,27,928,32.5,-3.7,36.2,24.6,2.2,26.3,2.2,115,5,74,333,19,285,19
196,8.7,901,286,26.45428612,282.0433669,-0.2011,112,29,964.1,28.4,-9.8,38.2,19.7,-2.8,20.7,-4.2,93,40,23,274,148,273,151
196,8.7,901,286,26.45428612,282.0433669,-0.2806,112,29,964.1,28.4,-9.8,38.2,19.7,-2.8,20.7,-4.2,93,40,23,274,148,273,151
196,8.7,901,286,26.45428612,282.0433669,-0.3637,112,29,964.1,28.4,-9.8,38.2,19.7,-2.8,20.7,-4.2,93,40,23,274,148,273,151
196,8.7,901,286,26.45428612,282.0433669,-0.3248,112,29,964.1,28.4,-9.8,38.2,19.7,-2.8,20.7,-4.2,93,40,23,274,148,273,151
150,3.6,564,169,25.16186478,278.7412821,-0.0729,123,22,1467.5,28.1,-25.5,53.6,21.3,-16.6,21.3,-16.6,167,4,104,375,14,375,14
150,3.6,564,169,25.16186478,278.7412821,0.2978,123,22,1467.5,28.1,-25.5,53.6,21.3,-16.6,21.3,-16.6,167,4,104,375,14,375,14
150,4.1,534,150,23.75091952,278.9974874,-0.0418,121,22,1447.2,28.3,-24.5,52.8,21.6,-15.8,21.6,-15.8,162,3,108,361,11,361,11
150,14.8,592,70,20.72879927,288.6216968,0.0047,113,28,995.6,33.8,-5.5,39.3,27.2,1.4,27.2,1.4,192,10,109,381,31,381,31
150,14.8,592,70,20.72879927,288.6216968,0.0381,113,28,995.6,33.8,-5.5,39.3,27.2,1.4,27.2,1.4,192,10,109,381,31,381,31
120,13.6,446,710,27.61130678,287.9851626,-0.1877,110,36,670.4,31.4,0.9,30.5,9.2,22.5,22.5,5.4,57,11,37,157,50,50,133
120,13.6,446,710,27.61130678,287.9851626,-0.0115,110,36,670.4,31.4,0.9,30.5,9.2,22.5,22.5,5.4,57,11,37,157,50,50,133
120,13.6,446,710,27.61130678,287.9851626,0.0744,110,36,670.4,31.4,0.9,30.5,9.2,22.5,22.5,5.4,57,11,37,157,50,50,133
120,13.6,446,710,27.61130678,287.9851626,-0.0984,110,36,670.4,31.4,0.9,30.5,9.2,22.5,22.5,5.4,57,11,37,157,50,50,133
200,14.3,703,144,20.65795099,288.7006938,0.4788,111,30,945.8,32,-4.8,36.8,24.7,1.6,26.2,1.6,161,10,78,378,37,366,37
200,14.3,703,144,20.65795099,288.7006938,0.1773,111,30,945.8,32,-4.8,36.8,24.7,1.6,26.2,1.6,161,10,78,378,37,366,37
200,14.3,703,144,20.65795099,288.7006938,0.1478,111,30,945.8,32,-4.8,36.8,24.7,1.6,26.2,1.6,161,10,78,378,37,366,37
200,14.3,703,144,20.65795099,288.7006938,0.0722,111,30,945.8,32,-4.8,36.8,24.7,1.6,26.2,1.6,161,10,78,378,37,366,37
200,5.9,633,178,23.78292374,280.3016503,-0.6534,118,23,1331.8,28.4,-21,49.4,22.1,-12.4,22.1,-12.4,178,5,103,412,17,412,17
200,5.9,633,178,23.78292374,280.3016503,-0.7257,118,23,1331.8,28.4,-21,49.4,22.1,-12.4,22.1,-12.4,178,5,103,412,17,412,17
200,5.9,633,178,23.78292374,280.3016503,-0.2223,118,23,1331.8,28.4,-21,49.4,22.1,-12.4,22.1,-12.4,178,5,103,412,17,412,17
200,5.9,633,178,23.78292374,280.3016503,-0.056,118,23,1331.8,28.4,-21,49.4,22.1,-12.4,22.1,-12.4,178,5,103,412,17,412,17
200,15,1488,367,34.39547266,288.8298383,0.3183,74,24,805.8,30.4,-0.2,30.6,19,4.3,25.1,4.3,224,43,48,628,164,524,164
200,15,1488,367,34.39547266,288.8298383,0.1326,74,24,805.8,30.4,-0.2,30.6,19,4.3,25.1,4.3,224,43,48,628,164,524,164
200,15,1488,367,34.39547266,288.8298383,-0.1585,74,24,805.8,30.4,-0.2,30.6,19,4.3,25.1,4.3,224,43,48,628,164,524,164
200,15,1488,367,34.39547266,288.8298383,-0.078,74,24,805.8,30.4,-0.2,30.6,19,4.3,25.1,4.3,224,43,48,628,164,524,164
150,12.6,548,47,15.77523204,286.2374776,-0.1129,121,28,1104.1,32.4,-9.7,42.1,26,-2.5,26,-2.5,201,3,138,431,12,431,12
110,12.6,548,47,15.77523204,286.2374776,-0.0341,121,28,1104.1,32.4,-9.7,42.1,26,-2.5,26,-2.5,201,3,138,431,12,431,12
165.6,17.7,1512,67,37.9319547,290.4965297,0.13,82,25,827,34,1.8,32.2,21.6,9,28,6.8,260,46,53,679,173,472,217
188,6.9,903,302,26.20316969,280.9097784,0.0364,99,27,945.8,26.1,-10.5,36.6,17.9,-4.8,18.7,-5.5,91,56,13,259,189,250,196
188,6.9,903,302,26.20316969,280.9097784,0.106,99,27,945.8,26.1,-10.5,36.6,17.9,-4.8,18.7,-5.5,91,56,13,259,189,250,196
188,6.9,903,302,26.20316969,280.9097784,-0.0953,99,27,945.8,26.1,-10.5,36.6,17.9,-4.8,18.7,-5.5,91,56,13,259,189,250,196
180,10.2,777,353,30.19830867,283.9713077,0.1999,127,29,1055.1,31.2,-11.7,42.9,21.1,-4.1,23.3,-4.1,112,16,52,308,59,293,59
180,10.2,777,353,30.19830867,283.9713077,-0.1061,127,29,1055.1,31.2,-11.7,42.9,21.1,-4.1,23.3,-4.1,112,16,52,308,59,293,59
180,10.2,777,353,30.19830867,283.9713077,-0.0376,127,29,1055.1,31.2,-11.7,42.9,21.1,-4.1,23.3,-4.1,112,16,52,308,59,293,59
180,10.2,777,353,30.19830867,283.9713077,-0.0323,127,29,1055.1,31.2,-11.7,42.9,21.1,-4.1,23.3,-4.1,112,16,52,308,59,293,59
180,10.2,777,353,30.19830867,283.9713077,-0.3634,127,29,1055.1,31.2,-11.7,42.9,21.1,-4.1,23.3,-4.1,112,16,52,308,59,293,59
180,10.2,777,353,30.19830867,283.9713077,0.2843,127,29,1055.1,31.2,-11.7,42.9,21.1,-4.1,23.3,-4.1,112,16,52,308,59,293,59
180,10.2,777,353,30.19830867,283.9713077,0.0549,127,29,1055.1,31.2,-11.7,42.9,21.1,-4.1,23.3,-4.1,112,16,52,308,59,293,59
180,10.2,777,353,30.19830867,283.9713077,-0.1395,127,29,1055.1,31.2,-11.7,42.9,21.1,-4.1,23.3,-4.1,112,16,52,308,59,293,59
